"row_type","path","bytes","sha256","functional_block","current_responsibility","authority_or_owner","phase3_target_destination","phase4_classification","phase4_evidence","characterization_state","compatibility_obligation","current_or_future_action","expected_successor","coverage_mode","block_level_invariant_reference","notes","protected_contract_behavior","target_test_taxonomy","characterization_role","associated_production_block","migration_relevance","future_action","compatibility_migration_protection","support_class","sub_responsibility","reads_or_depends_on","writes_or_controls","runtime_or_regression_protection","migration_prerequisite","protected_contract_or_behavior","test_taxonomy","compatibility_or_migration_role","phase4_relevance","future_migration_relevance","active_or_support_status","phase_coverage","unique_surface_analysis"
"HANDWRITTEN_PRODUCTION_DART","lib/core/format/app_identifier_format.dart","1258","791AD11BD42C8F8D52AB2C87683F6311746DA50C84EFC812B26BB963433AC1F2","core/platform support","Implements app identifier format transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/format/app_identifier_format.dart (1258 bytes; SHA-256 791AD11BD42C8F8D52AB2C87683F6311746DA50C84EFC812B26BB963433AC1F2).","NOT APPLICABLE — declarative/value boundary covered by contract","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/format/app_identifier_format.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app identifier format implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/format/app_money_format.dart","2589","A63AD553053E76C7663D63D725DA88FE39D5626CFCDEB9373D9C81D9010C312C","core/platform support","Implements app money format transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/format/app_money_format.dart (2589 bytes; SHA-256 A63AD553053E76C7663D63D725DA88FE39D5626CFCDEB9373D9C81D9010C312C).","NOT APPLICABLE — declarative/value boundary covered by contract","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/format/app_money_format.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app money format implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/format/app_parse.dart","391","EEE9FC96255063633A7FE28AE97E87BBFE7445E8E2BA8AEB77AAD0AFB21D5916","core/platform support","Implements app parse transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/format/app_parse.dart (391 bytes; SHA-256 EEE9FC96255063633A7FE28AE97E87BBFE7445E8E2BA8AEB77AAD0AFB21D5916).","NOT APPLICABLE — declarative/value boundary covered by contract","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/format/app_parse.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app parse implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/format/app_text_format.dart","5582","38E85A3632A7D786FDA47A86F18B8DFF0764F3205D66D1E1C49F99C3A3FAB9A9","core/platform support","Implements app text format transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/format/app_text_format.dart (5582 bytes; SHA-256 38E85A3632A7D786FDA47A86F18B8DFF0764F3205D66D1E1C49F99C3A3FAB9A9).","NOT APPLICABLE — declarative/value boundary covered by contract","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/format/app_text_format.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app text format implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/format/app_time_format.dart","1888","6F58C1260CC44DEA1D67A64ADC44014CA613AECA78D1D0A5FE6E0244E7D261F8","core/platform support","Implements app time format transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/format/app_time_format.dart (1888 bytes; SHA-256 6F58C1260CC44DEA1D67A64ADC44014CA613AECA78D1D0A5FE6E0244E7D261F8).","NOT APPLICABLE — declarative/value boundary covered by contract","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/format/app_time_format.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app time format implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/installation/opc_installation_id_repository.dart","1704","912CFD5E7C2D55690C54325FF6DEBF51BCE3FC6EF41CCBD65C829C6353E33851","core/platform support","Provides the opc installation id repository data-access boundary.","Engineering Profile and owning module contract","features/identity_settings","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/installation/opc_installation_id_repository.dart (1704 bytes; SHA-256 912CFD5E7C2D55690C54325FF6DEBF51BCE3FC6EF41CCBD65C829C6353E33851).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/installation/opc_installation_id_repository.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","repository/data access","no local project import; framework/primitive boundary","writes/reads owning block data boundary","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/json_transfer/iriu_json_compat.dart","821","4014CA1576CBCB372F71B82847985155C7F03E904D6CBD487A5FD8F47966B70A","interoperability / typed transfer","Implements the iriu json compat responsibility in its owning block.","Persistence/interoperability contracts; owner policy for external semantics","features/interoperability/application + infrastructure","SPLIT / MERGE — IRiU CONTRACT BOUNDARY","Phase 4 evidence for interoperability / typed transfer; direct declaration/import scan of lib/core/json_transfer/iriu_json_compat.dart (821 bytes; SHA-256 4014CA1576CBCB372F71B82847985155C7F03E904D6CBD487A5FD8F47966B70A).","PARTIAL — seam characterization required before migration","Versioned JSON/transfer envelope, round-trip, media, auth and restore compatibility","Complete IRiU seam characterization before refactor","IRiU seam characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/json_transfer/iriu_json_compat.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","IRiU truth/selection/lifecycle","relative imports: ../database/database.dart","controls its named sub-responsibility without changing PREDMET authority","migration, restore, round-trip and compatibility evidence required","versioned JSON fixtures and round-trip compatibility harness","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/json_transfer/predmet_json_transfer_core.dart","17894","3E59FD88306AF5F520E2C6C1468C6580426048D0A936EA24375CB4A9F9F2C67A","interoperability / typed transfer","Implements the predmet json transfer core responsibility in its owning block.","Persistence/interoperability contracts; owner policy for external semantics","features/interoperability/application + infrastructure","TARGET FIT / RETAIN","Phase 4 evidence for interoperability / typed transfer; direct declaration/import scan of lib/core/json_transfer/predmet_json_transfer_core.dart (17894 bytes; SHA-256 3E59FD88306AF5F520E2C6C1468C6580426048D0A936EA24375CB4A9F9F2C67A).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Versioned JSON/transfer envelope, round-trip, media, auth and restore compatibility","Retain under mapped target block; include in seam characterization","JSON interoperability characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/json_transfer/predmet_json_transfer_core.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","serialization/versioning/validation boundary","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","migration, restore, round-trip and compatibility evidence required","versioned JSON fixtures and round-trip compatibility harness","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/theme/app_typography.dart","288","B92DF1C1B2936AF512BCC6956A59A72165B6F987CDCCD0C0C214D08F0DAF4D10","core/platform support","Implements the app typography responsibility in its owning block.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/theme/app_typography.dart (288 bytes; SHA-256 B92DF1C1B2936AF512BCC6956A59A72165B6F987CDCCD0C0C214D08F0DAF4D10).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/theme/app_typography.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app typography implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/document_text_codec.dart","2399","D354F3339804CDAB81707BB54E7CEEBD3AB6C96D807C82387F73BAC9F553C6CA","documents/core utilities","Implements document text codec transformation or resolution behavior.","Engineering Profile and owning module contract","features/documents + infrastructure/rendering","TARGET FIT / RETAIN","Phase 4 evidence for documents/core utilities; direct declaration/import scan of lib/core/utils/document_text_codec.dart (2399 bytes; SHA-256 D354F3339804CDAB81707BB54E7CEEBD3AB6C96D807C82387F73BAC9F553C6CA).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Document fidelity characterization before adapter split","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/document_text_codec.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific document text codec implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/export_utils.dart","9681","7B5AE83367C0AE9B81F60FD96D8742DA980E6774F6188E93BB284CF2F1C59463","documents/core utilities","Builds or exports export utils artifacts from authoritative snapshots.","Engineering Profile and owning module contract","features/documents + infrastructure/rendering","TARGET FIT / RETAIN","Phase 4 evidence for documents/core utilities; direct declaration/import scan of lib/core/utils/export_utils.dart (9681 bytes; SHA-256 7B5AE83367C0AE9B81F60FD96D8742DA980E6774F6188E93BB284CF2F1C59463).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Document fidelity characterization before adapter split","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/export_utils.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific export utils implementation","relative imports: ../database/database.dart; ../format/app_filename_format.dart","controls derived document/artifact output","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/export_utils_replacement.dart","79","BC84E929FD5DFCB0859A324ED929845D943A63C2CC57F3FABAE9D9791B8E6E43","documents/core utilities","Builds or exports export utils replacement artifacts from authoritative snapshots.","Engineering Profile and owning module contract","features/documents + infrastructure/rendering","PROVEN DEAD (not removed)","Phase 4 evidence for documents/core utilities; direct declaration/import scan of lib/core/utils/export_utils_replacement.dart (79 bytes; SHA-256 BC84E929FD5DFCB0859A324ED929845D943A63C2CC57F3FABAE9D9791B8E6E43).","NOT APPLICABLE — proven-dead forensic candidate","Owning module API and regression behavior","Retain evidence; no deletion in this control task","separate authorized dead-code removal task","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/export_utils_replacement.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific export utils replacement implementation","no local project import; framework/primitive boundary","controls derived document/artifact output","owning-block tests plus Phase 4 characterization register","global reference, packaging, history and documentation proof before separate removal authorization","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/formatters.dart","36","6D3B9B4F98A02B61788F5BD080F99BB3A64B4AF9696CE7A5A819FE884A7CE7FA","documents/core utilities","Implements formatters transformation or resolution behavior.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for documents/core utilities; direct declaration/import scan of lib/core/utils/formatters.dart (36 bytes; SHA-256 6D3B9B4F98A02B61788F5BD080F99BB3A64B4AF9696CE7A5A819FE884A7CE7FA).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Document fidelity characterization before adapter split","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/formatters.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific formatters implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/json_export_import.dart","90854","B7E2B0B20F1F14659579E3C90F5B04C03F2EC58E12B75525586B60D39A6FBD4B","interoperability / transfer and backup","Builds or exports json export import artifacts from authoritative snapshots.","Persistence/interoperability contracts; owner policy for external semantics","features/interoperability/application + infrastructure","PARTIAL REWRITE CANDIDATE / SPLIT","Phase 4 evidence for interoperability / transfer and backup; direct declaration/import scan of lib/core/utils/json_export_import.dart (90854 bytes; SHA-256 B7E2B0B20F1F14659579E3C90F5B04C03F2EC58E12B75525586B60D39A6FBD4B).","PARTIAL — seam characterization required before migration","Versioned JSON/transfer envelope, round-trip, media, auth and restore compatibility","Characterize versioned fixtures and split orchestration/adapters","JSON interoperability characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/json_export_import.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","serialization/versioning/validation boundary","relative imports: ../database/database.dart; ../json_transfer/iriu_json_compat.dart; ../constants/iriu_constants.dart; ../format/app_filename_format.dart; ../json_transfer/predmet_json_transfer_core.dart; ../../features/auth/data/auth_security_repository.dart; ../../features/predmeti/application/full_backup_restore_coordinator.dart; ../../features/predmeti/data/predmeti_repository.dart; ../../features/predmeti/core_v2/scenario/scenario_persistence_contract.dart; ../../features/predmeti/core_v2/scenario/scenario_transfer_envelope.dart; ../../features/predmeti/core_v2/scenario/single_predmet_scenario_carrier_contract.dart; ../../features/predmeti/parte/data/parte_media_store.dart; ../../features/predmeti/parte/domain/parte_models.dart; ../../features/predmeti/reminders/ceremony_notification_gateway.dart; ../../features/predmeti/reminders/ceremony_reminder_model.dart; ../../features/stanje_robe/data/stanje_robe_posledice_repository.dart","controls derived document/artifact output","migration, restore, round-trip and compatibility evidence required","characterization fixtures plus parity and rollback rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/utils/stable_id_generator.dart","368","15CDB83D7E8ED844A3139E034A1A0E6C40E8B4BC4EEC7D3F0F588FB76942D40F","documents/core utilities","Implements the stable id generator responsibility in its owning block.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for documents/core utilities; direct declaration/import scan of lib/core/utils/stable_id_generator.dart (368 bytes; SHA-256 15CDB83D7E8ED844A3139E034A1A0E6C40E8B4BC4EEC7D3F0F588FB76942D40F).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Document fidelity characterization before adapter split","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/utils/stable_id_generator.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific stable id generator implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/data/auth_repository.dart","14331","0BA80BBD035386D9A3685C5F41C74F69C2DF70DD2BA8994CD64F56D7274C2D3D","identity/settings / authentication","Provides the auth repository data-access boundary.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/data/auth_repository.dart (14331 bytes; SHA-256 0BA80BBD035386D9A3685C5F41C74F69C2DF70DD2BA8994CD64F56D7274C2D3D).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/data/auth_repository.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","repository/data access","relative imports: ../../../core/database/database.dart","writes/reads owning block data boundary","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/data/auth_security_repository.dart","7502","E0798A48DF338664150669FD9E5B138D01EEAD429BDCC8996583036DD3B7F4AD","identity/settings / authentication","Provides the auth security repository data-access boundary.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/data/auth_security_repository.dart (7502 bytes; SHA-256 E0798A48DF338664150669FD9E5B138D01EEAD429BDCC8996583036DD3B7F4AD).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/data/auth_security_repository.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","repository/data access","relative imports: ../../../core/database/database.dart; ../domain/recovery_material_codec.dart; ../domain/temporary_pin_generator.dart","writes/reads owning block data boundary","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/domain/recovery_material_codec.dart","3293","222CE3B5CD79586B0FFC50F357BD758E3E3BE226787B926E99FB56CAB1D7DAAC","identity/settings / authentication","Implements recovery material codec transformation or resolution behavior.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/domain/recovery_material_codec.dart (3293 bytes; SHA-256 222CE3B5CD79586B0FFC50F357BD758E3E3BE226787B926E99FB56CAB1D7DAAC).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/domain/recovery_material_codec.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific recovery material codec implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/domain/session_service.dart","558","BE6938E46AA9422713483CE3F8026FBE1F018068EA3A08846B27204A509A9100","identity/settings / authentication","Implements the session service state transition or projection service.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/domain/session_service.dart (558 bytes; SHA-256 BE6938E46AA9422713483CE3F8026FBE1F018068EA3A08846B27204A509A9100).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/domain/session_service.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","domain/application service","relative imports: ../../../core/database/database.dart","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/domain/temporary_pin_generator.dart","416","DFBE998F2C9450DFB0901B045FC817133D8F72046D457F28EF91AD0F2FAC34BD","identity/settings / authentication","Implements the temporary pin generator responsibility in its owning block.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/domain/temporary_pin_generator.dart (416 bytes; SHA-256 DFBE998F2C9450DFB0901B045FC817133D8F72046D457F28EF91AD0F2FAC34BD).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/domain/temporary_pin_generator.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific temporary pin generator implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/presentation/first_launch_screen.dart","6929","143EC0EE4011E71C68EFD364FD8313B63AF09301EAB255E18FBE5CB2E0A63B13","identity/settings / authentication","Renders the first launch screen workflow and coordinates user actions.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/presentation/first_launch_screen.dart (6929 bytes; SHA-256 143EC0EE4011E71C68EFD364FD8313B63AF09301EAB255E18FBE5CB2E0A63B13).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/presentation/first_launch_screen.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","feature workflow/UI","relative imports: ../data/auth_repository.dart; ../domain/session_service.dart","controls user workflow state and commands","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/presentation/forced_pin_change_screen.dart","5436","AE268889397F5EC7CAC1AE8CDCE9A9D7AD0C25ECE2B0F5345897C74524EFC819","identity/settings / authentication","Renders the forced pin change screen workflow and coordinates user actions.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/presentation/forced_pin_change_screen.dart (5436 bytes; SHA-256 AE268889397F5EC7CAC1AE8CDCE9A9D7AD0C25ECE2B0F5345897C74524EFC819).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/presentation/forced_pin_change_screen.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","feature workflow/UI","relative imports: ../data/auth_repository.dart; ../domain/session_service.dart","controls user workflow state and commands","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/presentation/forgot_pin_recovery_dialog.dart","9434","6AE60A0577962EF86A4CBFE6DAD70157A23AE2EE2087ADB61BB0AD514071F748","identity/settings / authentication","Implements the forgot pin recovery dialog responsibility in its owning block.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/presentation/forgot_pin_recovery_dialog.dart (9434 bytes; SHA-256 6AE60A0577962EF86A4CBFE6DAD70157A23AE2EE2087ADB61BB0AD514071F748).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/presentation/forgot_pin_recovery_dialog.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific forgot pin recovery dialog implementation","relative imports: ../../../core/database/database.dart; ../data/auth_repository.dart","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/presentation/korisnici_screen.dart","23091","96A14A8C7B80FCB23F3E586AF761F7B8623CF7B03C3A294FA64D643DD611AD44","identity/settings / authentication","Renders the korisnici screen workflow and coordinates user actions.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/presentation/korisnici_screen.dart (23091 bytes; SHA-256 96A14A8C7B80FCB23F3E586AF761F7B8623CF7B03C3A294FA64D643DD611AD44).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/presentation/korisnici_screen.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","feature workflow/UI","relative imports: ../../../core/database/database.dart; ../data/auth_repository.dart; ../domain/session_service.dart","controls user workflow state and commands","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/features/auth/presentation/login_screen.dart","9741","A4389808054B1D0EF6933E6C40AE2C50B9AF347D834D4DCBD1D5AED2C569FC70","identity/settings / authentication","Renders the login screen workflow and coordinates user actions.","Identity/security contract; owner approval for recovery policy","features/identity_settings","MOVE / SPLIT — IDENTITY/SETTINGS BOUNDARY","Phase 4 evidence for identity/settings / authentication; direct declaration/import scan of lib/features/auth/presentation/login_screen.dart (9741 bytes; SHA-256 A4389808054B1D0EF6933E6C40AE2C50B9AF347D834D4DCBD1D5AED2C569FC70).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","PIN/session/recovery payload and local identity persistence","Run identity/recovery security acceptance","Identity/recovery and entitlement acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/features/auth/presentation/login_screen.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","feature workflow/UI","relative imports: ../../../core/database/database.dart; ../data/auth_repository.dart; ../domain/session_service.dart","controls user workflow state and commands","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
